LOCATION #,METER TYPE,MR_MDVC_NUMBER,STREET
3002010 ,SM-2S-TOU,123054571,  ESTATES DR  
3002011 ,SM-2S-TOU,123054539,  ESTATES DR  
3002013 ,SM-2S-TOU,123054538,  ESTATES DR  
3002014 ,SM-2S-TOU,123054537,  ESTATES DR  
3002015 ,SM-2S-TOU,123054536,  ESTATES DR  
3002016 ,SM-2S-TOU,123054551,  ESTATES DR  
3002018 ,SM-2S-TOU,123054550,  ESTATES DR  
3002019 ,SM-2S-TOU,123054549,  ESTATES DR  
3002020 ,SM-2S-TOU,123054548,  ESTATES DR  
3002021 ,SM-2S-TOU,123054547,  ESTATES DR  
3002023 ,SM-2S-TOU,123054546,  ESTATES DR  
3002024 ,SM-2S-TOU,123054545,  ESTATES DR  
3002025 ,SM-2S-TOU,123054544,  ESTATES DR  
3002026 ,SM-2S-TOU,123053304,  BROADVIEW DR  
3002027 ,SM-2S-TOU,123053305,  BROADVIEW DR  
3002028 ,SM-2S-TOU,123053280,  BROADVIEW DR  
3002029 ,SM-2S-TOU,123053349,  KRISTI LN  
3002030 ,SM-2S-TOU,123053351,  KRISTI LN  
3002031 ,SM-2S-TOU,123053348,  KRISTI LN  
3002032 ,SM-2S-TOU,123053643,  KRISTI LN  
3002033 ,SM-2S-TOU,123053640,  KRISTI LN  
3002034 ,SM-2S-TOU,123053641,  KRISTI LN  
3002035 ,SM-2S-TOU,123053642,  KRISTI LN  
3002036 ,SM-2S-TOU,123054500,  KRISTI LN  
3002037 ,SM-2S-TOU,123054502,  KRISTI LN  
3002038 ,SM-2S-TOU,123054501,  KRISTI LN  
3002039 ,SM-2S-TOU,123054503,  KRISTI LN  
3002040 ,SM-2S-TOU,123053367,  COOPER PL  
3002041 ,SM-2S-TOU,123053366,  COOPER PL  
3002042 ,SM-2S-TOU,123053365,  COOPER PL  
3002043 ,SM-2S-TOU,123053646,  COOPER PL  
3002044 ,SM-2S-TOU,123053364,  COOPER PL  
3002045 ,SM-2S-TOU,123053647,  COOPER PL  
3002046 ,SM-2S-TOU,123053645,  COOPER PL  
3002047 ,SM-2S-TOU,123053644,  COOPER PL  
3002048 ,SM-2S-TOU,123053339,  COOPER PL  
3002049 ,SM-2S-TOU,123053336,  COOPER PL  
3002050 ,SM-2S-TOU,123053337,  KRISTI LN  
3002051 ,SM-2S-TOU,123053338,  KRISTI LN  
3002052 ,SM-2S-TOU,123053299,  KRISTI LN  
3002053 ,SM-2S-TOU,123053296,  KRISTI LN  
3002054 ,SM-2S-TOU,123053297,  KRISTI LN  
3002055 ,SM-2S-TOU,123053298,  KRISTI LN  
3002056 ,SM-2S-TOU,123053659,  KRISTI LN  
3002057 ,SM-2S-TOU,123053656,  MOUNTAIN VIEW PL  
3002058 ,SM-2S-TOU,123053658,  MOUNTAIN VIEW PL  
3002059 ,SM-2S-TOU,123053331,  MOUNTAIN VIEW PL  
3002060 ,SM-2S-TOU,123053328,  MOUNTAIN VIEW PL  
3002061 ,SM-2S-TOU,123053329,  MOUNTAIN VIEW PL  
3002063 ,SM-2S-TOU,123053334,  MOUNTAIN VIEW PL  
3002064 ,SM-2S-TOU,123053330,  MOUNTAIN VIEW PL  
3002065 ,SM-2S-TOU,123053335,  MOUNTAIN VIEW PL  
3002066 ,SM-2S-TOU,123053332,  MOUNTAIN VIEW PL  
3002067 ,SM-2S-TOU,123053333,  MOUNTAIN VIEW PL  
3002068 ,SM-2S-TOU,123053345,  MOUNTAIN VIEW PL  
3002069 ,SM-2S-TOU,123053344,  MOUNTAIN VIEW PL  
3002070 ,SM-2S-TOU,123053346,  MOUNTAIN VIEW PL  
3002071 ,SM-2S-TOU,123053347,  MOUNTAIN VIEW PL  
3002072 ,SM-2S-TOU,123053638,  MOUNTAIN VIEW PL  
3002073 ,SM-2S-TOU,123053636,  MOUNTAIN VIEW PL  
3002074 ,SM-2S-TOU,123053637,  MOUNTAIN VIEW PL  
3002075 ,SM-2S-TOU,123053639,  MOUNTAIN VIEW PL  
3002076 ,SM-2S-TOU,123053655,  MOUNTAIN VIEW PL  
3002077 ,SM-2S-TOU,123053654,  MOUNTAIN VIEW PL  
3002078 ,SM-2S-TOU,123053825,  KRISTI LN  
3002079 ,SM-2S-TOU,123053251,  KRISTI LN  
3002080 ,SM-2S-TOU,123053824,  BROADVIEW DR  
3002081 ,SM-2S-TOU,123053826,  BROADVIEW DR  
3002083 ,SM-2S-TOU,123054529,  BROADVIEW DR  
3002084 ,SM-2S-TOU,123053807,  SCOTT WAY  
3002085 ,SM-2S-TOU,123053806,  SCOTT WAY  
3002086 ,SM-2S-TOU,123053805,  SCOTT WAY  
3002087 ,SM-2S-TOU,123053804,  SCOTT WAY  
3002088 ,SM-2S-TOU,123053785,  SCOTT WAY  
3002089 ,SM-2S-TOU,123053786,  SCOTT WAY  
3002090 ,SM-2S-TOU,123053784,  SCOTT WAY  
3002091 ,SM-2S-TOU,123053787,  SCOTT WAY  
3002092 ,SM-2S-TOU,123053829,  SCOTT WAY  
3002093 ,SM-2S-TOU,123053828,  SCOTT WAY  
3002094 ,SM-2S-TOU,123053830,  SCOTT WAY  
3002095 ,SM-2S-TOU,123053831,  SCOTT WAY  
3002096 ,SM-2S-TOU,123053282,  KRISTI LN  
3002097 ,SM-2S-TOU,123053281,  KRISTI LN  
3002098 ,SM-2S-TOU,123053283,  KRISTI LN  
3002099 ,SM-2S-TOU,123054509,  KRISTI LN  
3002100 ,SM-2S-TOU,123054510,  KRISTI LN  
3002101 ,SM-2S-TOU,123054511,  KRISTI LN  
3002102 ,SM-2S-TOU,123053312,  KRISTI LN  
3002103 ,SM-2S-TOU,123054508,  KRISTI LN  
3002104 ,SM-2S-TOU,123053290,  KRISTI LN  
3002105 ,SM-2S-TOU,123053291,  KRISTI LN  
3002106 ,SM-2S-TOU,123053288,  KRISTI LN  
3002107 ,SM-2S-TOU,123053289,  KRISTI LN  
3002109 ,SM-2S-TOU,123054461,  TIFFANY CT  
3002110 ,SM-2S-TOU,123054463,  TIFFANY CT  
3002111 ,SM-2S-TOU,123054460,  TIFFANY CT  
3002112 ,SM-2S-TOU,123054447,  TIFFANY CT  
3002113 ,SM-2S-TOU,123054444,  TIFFANY CT  
3002114 ,SM-2S-TOU,123054446,  TIFFANY CT  
3002115 ,SM-2S-TOU,123053355,  TIFFANY CT  
3002116 ,SM-2S-TOU,123053352,  TIFFANY CT  
3002117 ,SM-2S-TOU,123054445,  TIFFANY CT  
3002118 ,SM-2S-TOU,123053353,  TIFFANY CT  
3002119 ,SM-2S-TOU,123054777,  TIFFANY CT  
3002120 ,SM-2S-TOU,123054775,  TIFFANY CT  
3002121 ,SM-2S-TOU,123054773,  TIFFANY CT  
3002122 ,SM-2S-TOU,123054772,  TIFFANY CT  
3002123 ,SM-2S-TOU,123054774,  TIFFANY CT  
3002124 ,SM-2S-TOU,123054802,  TIFFANY CT  
3002125 ,SM-2S-TOU,123054803,  TIFFANY CT  
3002126 ,SM-2S-TOU,123054801,  TIFFANY CT  
3002127 ,SM-2S-TOU,123054800,  TIFFANY CT  
3002128 ,SM-2S-TOU,123054784,  TIFFANY CT  
3002129 ,SM-2S-TOU,123054785,  TIFFANY CT  
3002130 ,SM-2S-TOU,123054787,  TIFFANY CT  
3002131 ,SM-2S-TOU,123054786,  BROADVIEW DR  
3002133 ,SM-2S-TOU,123053678,  SAN ILDEFONSO ACROSS FROM N MESA RD   
3002135 ,SM-2S-TOU,123053266,  BROADVIEW DR  
3002136 ,SM-9S-DEM,123053055,  HAWK DR  
3002139 ,SM-2S-TOU,123053265,  HAWK DR  
3002140 ,SM-16S-DEM,123053041,  HAWK DR  
3002141 ,SM-2S-TOU,123054322,  HAWK DRIVE/NORTH MESA RD  
3002142 ,SM-9S-DEM,123053052,  HAWK DR  
3002144 ,SM-2S-TOU,123053264,  NORTH MESA RD  
3002146 ,SM-2S-TOU,123054698,  TERRY LN  
3002148 ,SM-16S-DEM,123053038,  HAWKS LANDING LN  
3002149 ,SM-2S-TOU,123054697,  TERRY LN  
3002151 ,SM-2S-TOU,123054323,  NORTH MESA BALLFIELDS LN  
