MR_MDVC_NUMBER,Latitude,Longitude
123054483,35.8924691,-106.2856409
123054338,35.902891,-106.2855569
123053834,35.9024043,-106.2753836
123053387,35.8911394,-106.2911464
123053171,35.8914612,-106.2930818
123053170,35.8914612,-106.2930818
123053173,35.8914612,-106.2930818
123053172,35.8914612,-106.2930818
123053175,35.8914612,-106.2930818
123053174,35.8914612,-106.2930818
123053177,35.8906843,-106.2926347
123053176,35.8906843,-106.2926347
123053179,35.8906843,-106.2926347
123053178,35.8906843,-106.2926347
123053831,35.8891497,-106.2856053
123053889,35.9024778,-106.2893408
123053888,35.9024778,-106.2893408
123053885,35.9032016,-106.2945126
123053884,35.9032016,-106.2945126
123053887,35.9032016,-106.2945126
123053886,35.9032016,-106.2945126
123053881,35.8914041,-106.2848275
123053880,35.8914041,-106.2848275
123053882,35.8914041,-106.2848275
123053317,35.9032016,-106.2945126
123053316,35.9032016,-106.2945126
123053311,35.902891,-106.2855569
123053310,35.902891,-106.2855569
123053312,35.8893221,-106.2839107
123053319,35.9032016,-106.2945126
123053089,35.902363,-106.2881259
123053088,35.9024778,-106.2893408
123053773,35.8914041,-106.2848275
123053772,35.8914041,-106.2848275
123053771,35.8914041,-106.2848275
123053770,35.8914041,-106.2848275
123053777,35.902891,-106.2855569
123053776,35.9031613,-106.2767286
123053775,35.8914041,-106.2848275
123053774,35.8914041,-106.2848275
123053957,35.889994,-106.2716022
123053956,35.889994,-106.2716022
123053955,35.887598,-106.2703607
123053954,35.887662,-106.2768571
123053953,35.887662,-106.2768571
123053952,35.887662,-106.2768571
123053951,35.902891,-106.2855569
123053950,35.902891,-106.2855569
123054202,35.8894588,-106.273796
123054203,35.8894588,-106.273796
123053559,35.8898897,-106.2737494
123054201,35.8894588,-106.273796
123054206,35.8876084,-106.2755161
123054207,35.8876084,-106.2755161
123054204,35.8876084,-106.2755161
123054205,35.8876084,-106.2755161
123053221,35.8914526,-106.2974404
123053552,35.9012174,-106.2691676
123054208,35.8987274,-106.2812334
123054209,35.8898897,-106.2737494
123053557,35.8898897,-106.2737494
123053556,35.8898897,-106.2737494
123053555,35.9012174,-106.2691676
123053226,35.8987274,-106.2812334
123053799,35.8883638,-106.2791194
123053798,35.8883638,-106.2791194
123053791,35.8914041,-106.2848275
123053790,35.8914041,-106.2848275
123053793,35.8883638,-106.2791194
123053792,35.8883638,-106.2791194
123053795,35.8883638,-106.2791194
123053794,35.8883638,-106.2791194
123053797,35.8883638,-106.2791194
123053796,35.8883638,-106.2791194
123054688,35.8879713,-106.2799092
123054689,35.8879713,-106.2799092
123054686,35.8906748,-106.2981318
123054687,35.8914526,-106.2974404
123054684,35.8914526,-106.2974404
123054685,35.8906748,-106.2981318
123054682,35.9023671,-106.2988356
123054683,35.9023671,-106.2988356
123054680,35.9023671,-106.2988356
123054681,35.9023671,-106.2988356
123054518,35.8906843,-106.2926347
123054519,35.8906843,-106.2926347
123054516,35.8906843,-106.2926347
123054517,35.8906843,-106.2926347
123054514,35.8906843,-106.2926347
123054515,35.8906843,-106.2926347
123054512,35.8906843,-106.2926347
123054513,35.8906843,-106.2926347
123054510,35.8893221,-106.2839107
123054511,35.8893221,-106.2839107
123054336,35.902891,-106.2855569
123054337,35.902891,-106.2855569
123054334,35.889994,-106.2716022
123054335,35.889994,-106.2716022
123054332,35.889994,-106.2716022
123054333,35.889994,-106.2716022
123054330,35.8914041,-106.2848275
123053428,35.8919019,-106.298032
123053427,35.8914526,-106.2974404
123053426,35.8914526,-106.2974404
123053425,35.8914526,-106.2974404
123053424,35.8914526,-106.2974404
123053423,35.8914526,-106.2974404
123053422,35.8914526,-106.2974404
123053421,35.8914526,-106.2974404
123054339,35.902891,-106.2855569
123053272,35.8914041,-106.2848275
123054028,35.8980144,-106.2645966
123054029,35.8980144,-106.2645966
123054022,35.8980144,-106.2645966
123054023,35.8980144,-106.2645966
123054020,35.8980144,-106.2645966
123054021,35.8980144,-106.2645966
123054026,35.888177,-106.2679652
123054027,35.888177,-106.2679652
123054024,35.8906843,-106.2926347
123054025,35.888177,-106.2679652
123054493,36.3658793,-105.32825
123053843,35.8914041,-106.2848275
123054052,35.9032016,-106.2945126
123053979,35.8980144,-106.2645966
123053960,35.8980144,-106.2645966
123054534,35.8992918,-106.2800918
123054535,35.8992918,-106.2800918
123053339,35.8884757,-106.2822427
123054821,35.889994,-106.2716022
123054530,35.8987274,-106.2812334
123053845,35.8914041,-106.2848275
123054827,35.889994,-106.2716022
123054532,35.8982912,-106.2780644
123054533,35.8992918,-106.2800918
123053841,35.8914041,-106.2848275
123053840,35.8914041,-106.2848275
123053844,35.8914041,-106.2848275
123053331,35.8886049,-106.2837816
123053842,35.8914041,-106.2848275
123053337,35.8893221,-106.2839107
123053336,35.8884757,-106.2822427
123053847,35.8914041,-106.2848275
123053846,35.8914041,-106.2848275
123054767,35.8906843,-106.2926347
123054093,35.9032016,-106.2945126
123054092,35.9032016,-106.2945126
123054763,35.8892698,-106.2791596
123054762,35.8892698,-106.2791596
123054314,35.887598,-106.2703607
123054315,35.889994,-106.2716022
123054640,35.8911394,-106.2911464
123053162,35.9039874,-106.2904062
123053163,35.9024778,-106.2893408
123053160,35.9024778,-106.2893408
123054641,35.8911394,-106.2911464
123053166,35.8992918,-106.2800918
123053167,35.9024778,-106.2893408
123053164,35.9024778,-106.2893408
123053165,35.9024778,-106.2893408
123054310,35.9011817,-106.2737838
123053168,35.8914612,-106.2930818
123053169,35.8914612,-106.2930818
123054312,35.8914041,-106.2848275
123053898,35.902363,-106.2881259
123053899,35.902363,-106.2881259
123053896,35.9024778,-106.2893408
123053897,35.902363,-106.2881259
123053894,35.9024778,-106.2893408
123053895,35.9024778,-106.2893408
123053892,35.9024778,-106.2893408
123053893,35.9024778,-106.2893408
123053890,35.9024778,-106.2893408
123053891,35.9024778,-106.2893408
123053306,35.8980144,-106.2645966
123053307,35.8980144,-106.2645966
123053304,35.8901897,-106.284398
123053305,35.8901897,-106.284398
123053302,35.8914526,-106.2974404
123053303,35.8914526,-106.2974404
123053300,35.8914526,-106.2974404
123053301,35.8914526,-106.2974404
123053308,35.9046159,-106.2965196
123053309,35.9046159,-106.2965196
123053096,35.902363,-106.2881259
123053097,35.902363,-106.2881259
123053094,35.8914041,-106.2848275
123053095,35.8914041,-106.2848275
123053092,35.8914041,-106.2848275
123053093,35.8914041,-106.2848275
123053090,35.902363,-106.2881259
123053091,35.902363,-106.2881259
123053098,35.902363,-106.2881259
123053099,35.902363,-106.2881259
123053940,35.902891,-106.2855569
123053941,35.902891,-106.2855569
123053942,35.902891,-106.2855569
123053943,35.902891,-106.2855569
123053760,35.8914041,-106.2848275
123053761,35.8914041,-106.2848275
123053946,35.8911394,-106.2911464
123053763,35.8914041,-106.2848275
123053948,35.902891,-106.2855569
123053949,35.902891,-106.2855569
123053768,35.8914041,-106.2848275
123053769,35.8914041,-106.2848275
123054237,35.8914041,-106.2848275
123054236,35.8914041,-106.2848275
123053238,35.8942195,-106.2844731
123054234,35.8894588,-106.273796
123054233,35.8894588,-106.273796
123054232,35.8894588,-106.273796
123054231,35.887662,-106.2768571
123054230,35.887662,-106.2768571
123053544,35.9012174,-106.2691676
123053233,35.8914041,-106.2848275
123053230,35.9037065,-106.2809136
